"entidad";"jurisdiccion";"municipio";"localidad";"consultorios";"camas_censables";"camas_no_censables";"mdc_gral_esp_odon";"per_medico_en_adiestramiento";"medicos_en_otras_act";"per_de_enfermeria_en_contacto_c_paciente";"per_de_enfermerica_en_otras_labores";"otro_per_prof";"per_tec";"otro_per"
"VERACRUZ DE IGNACIO DE LA LLAVE";"ORIZABA";"HUILOAPAN DE CUAUHTEMOC";"SAN CRISTOBAL";2;0;0;3;1;0;3;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"ORIZABA";"IXTACZOQUITLAN";"IXTACZOQUITLAN";4;0;0;6;0;0;5;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"COSAMALOAPAN";"TRES VALLES";"SAN ANTONIO (EL CHAMIZAL)";2;0;0;1;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"CHINAMECA";"CHINAMECA";1;0;0;1;0;0;4;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"ORIZABA";"NOGALES";"NOGALES";2;0;0;3;0;0;4;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"XALAPA";"ALTOTONGA";"AHUEYAHUALCO";2;0;0;1;0;0;1;0;0;1;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"XALAPA";"ALTOTONGA";"GUTIERREZ ZAMORA";2;0;0;1;0;0;1;0;0;1;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"XALAPA";"TLALTETELA";"OHUAPAN";3;0;0;2;0;0;1;0;0;1;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"MARTINEZ DE LA TORRE";"JALACINGO";"JALACINGO";8;0;4;9;3;2;12;1;0;1;2
"VERACRUZ DE IGNACIO DE LA LLAVE";"POZA RICA";"COATZINTLA";"COATZINTLA";5;0;0;8;1;1;13;1;0;2;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"POZA RICA";"FILOMENO MATA";"FILOMENO MATA";5;0;0;6;0;1;7;1;0;1;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"VERACRUZ";"VERACRUZ";"DELFINO VICTORIA (SANTA FE)";12;65;0;4;0;2;4;0;8;2;12
"VERACRUZ DE IGNACIO DE LA LLAVE";"TUXPAN";"CERRO AZUL";"CERRO AZUL";6;0;0;9;1;0;15;0;2;3;4
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"UXPANAPA";"NUEVO CANTON (POBLADO SIETE)";2;0;0;1;0;0;2;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"VERACRUZ";"VERACRUZ";"VERACRUZ";5;0;0;7;2;0;6;4;3;4;4
"VERACRUZ DE IGNACIO DE LA LLAVE";"POZA RICA";"POZA RICA DE HIDALGO";"POZA RICA DE HIDALGO";6;0;0;12;1;1;14;1;1;5;2
"VERACRUZ DE IGNACIO DE LA LLAVE";"POZA RICA";"ZONTECOMATLAN DE LOPEZ Y FUENTES";"LA CANDELARIA";2;0;0;1;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"VERACRUZ";"SOLEDAD DE DOBLADO";"SOLEDAD DE DOBLADO";4;0;0;4;2;0;3;0;1;2;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"MARTINEZ DE LA TORRE";"ATZALAN";"CUATRO CAMINOS";3;0;0;2;0;0;2;0;2;1;0
